t,x,y,z,q_w,q_x,q_y,q_z
3.84916,0, 0, 0,0,0,0,0
3.85095,0, 0, 0,0,0,0,0
3.85526,0, 0, 0,0,0,0,0
3.90002,0, 0, 0,0,0,0,0
3.90386,0, 0, 0,0,0,0,0
3.90498,0, 0, 0,0,0,0,0
3.90908,0, 0, 0,0,0,0,0
3.91028,0, 0, 0,0,0,0,0
3.91353,0, 0, 0,0,0,0,0
3.9151,0, 0, 0,0,0,0,0
3.91965,0, 0, 0,0,0,0,0
3.92362,0, 0, 0,0,0,0,0
3.92784,0, 0, 0,0,0,0,0
3.9754,0, 0, 0,0,0,0,0
3.97852,0, 0, 0,0,0,0,0
3.9799,0, 0, 0,0,0,0,0
3.9834,0, 0, 0,0,0,0,0
3.98529,0, 0, 0,0,0,0,0
3.9881,0, 0, 0,0,0,0,0
3.99295,0, 0, 0,0,0,0,0
3.99647,0, 0, 0,0,0,0,0
